"long","lat","aday","amon","id"
174.875,-35.875,161,6,6
174.875,-35.875,162,6,6
174.875,-36.125,163,6,6
174.875,-36.375,164,6,6
174.875,-36.125,165,6,6
174.875,-36.625,166,6,6
174.875,-36.625,167,6,6
174.875,-36.375,168,6,6
174.875,-36.125,169,6,6
174.875,-36.625,170,6,6
174.875,-36.625,171,6,6
174.875,-36.125,172,6,6
174.875,-36.375,173,6,6
174.875,-36.625,174,6,6
174.875,-36.625,175,6,6
174.875,-36.625,176,6,6
174.625,-35.625,177,6,6
174.875,-36.375,178,6,6
174.875,-36.625,179,6,6
174.875,-36.375,180,7,6
174.875,-36.625,181,7,6
174.875,-36.625,182,7,6
174.625,-35.875,183,7,6
174.875,-35.625,184,7,6
174.875,-35.375,185,7,6
174.625,-35.625,186,7,6
174.625,-30.125,71,3,7
174.875,-30.125,72,3,7
174.875,-29.875,73,3,7
174.875,-30.125,74,3,7
174.375,-29.875,75,3,7
174.875,-29.875,76,3,7
174.375,-30.375,77,3,7
174.875,-31.375,78,3,7
174.625,-30.875,79,3,7
173.875,-31.625,80,3,7
174.125,-31.875,81,3,7
174.625,-32.875,82,3,7
174.875,-33.625,83,3,7
174.625,-33.625,84,3,7
174.125,-33.875,85,3,7
174.875,-33.875,86,3,7
174.625,-33.625,87,3,7
174.875,-34.625,88,3,7
174.875,-34.375,89,3,7
174.875,-36.375,90,4,7
174.875,-36.625,91,4,7
174.875,-36.375,92,4,7
174.875,-36.375,93,4,7
174.875,-36.375,94,4,7
174.875,-35.375,95,4,7
174.875,-36.125,96,4,7
174.875,-35.625,97,4,7
174.875,-35.875,98,4,7
174.875,-36.625,99,4,7
174.875,-36.625,100,4,7
174.875,-36.625,101,4,7
174.875,-36.375,102,4,7
174.875,-36.375,103,4,7
174.875,-36.375,104,4,7
174.875,-36.125,105,4,7
174.875,-36.625,106,4,7
174.875,-36.625,107,4,7
174.875,-36.625,108,4,7
174.875,-36.625,109,4,7
174.875,-36.625,110,4,7
174.875,-36.625,111,4,7
174.875,-36.625,112,4,7
174.875,-36.625,113,4,7
174.875,-36.625,114,4,7
174.875,-36.625,115,4,7
174.875,-36.625,116,4,7
174.875,-36.375,117,4,7
174.625,-35.625,81,3,8
174.625,-35.875,82,3,8
174.875,-36.625,83,3,8
174.875,-36.375,84,3,8
174.875,-36.625,85,3,8
174.875,-36.625,86,3,8
174.875,-36.375,87,3,8
174.875,-35.875,88,3,8
174.625,-35.875,89,3,8
174.875,-36.375,90,4,8
174.875,-36.625,91,4,8
174.875,-36.375,92,4,8
174.875,-36.625,93,4,8
174.875,-36.125,94,4,8
174.875,-36.375,95,4,8
174.875,-36.625,96,4,8
174.875,-36.375,97,4,8
174.875,-35.625,98,4,8
174.875,-35.875,99,4,8
174.875,-36.125,100,4,8
174.875,-36.375,101,4,8
174.875,-36.125,102,4,8
174.875,-36.125,103,4,8
